Private Entity,External URI,Confidence
http://mycustomkb.org/entity/UkResearchAndInnovation,http://www.wikidata.org/entity/Q38609561,0.99
http://mycustomkb.org/entity/Ukri,http://www.wikidata.org/entity/Q38609561,0.99
http://mycustomkb.org/entity/FundingService,http://www.wikidata.org/entity/Q39811254,0.99
http://mycustomkb.org/entity/Epsrc,http://www.wikidata.org/entity/Q5377871,0.99
http://mycustomkb.org/entity/Uk,http://www.wikidata.org/entity/Q8798,0.99
http://mycustomkb.org/entity/Dsit,http://www.wikidata.org/entity/Q105698704,0.99
http://mycustomkb.org/entity/Core,http://www.wikidata.org/entity/Q23595,0.99
http://mycustomkb.org/entity/Lab,http://www.wikidata.org/entity/Q483242,0.99
http://mycustomkb.org/entity/Dist,http://www.wikidata.org/entity/Q61,0.99
http://mycustomkb.org/entity/Eu,http://www.wikidata.org/entity/Q8752,0.99
http://mycustomkb.org/entity/TheEuropeanCouncil,http://www.wikidata.org/entity/Q80505092,0.99
http://mycustomkb.org/entity/Commission,http://www.wikidata.org/entity/Q14475832,0.99
http://mycustomkb.org/entity/TheEuropeanCommission,http://www.wikidata.org/entity/Q99921735,0.99
http://mycustomkb.org/entity/TheEuropeanCommission,http://www.wikidata.org/entity/Q99921735,0.99
http://mycustomkb.org/entity/Agency,http://www.wikidata.org/entity/Q430704,0.99
http://mycustomkb.org/entity/HorizonEurope,http://www.wikidata.org/entity/Q55613948,0.99
http://mycustomkb.org/entity/Ivory,http://www.wikidata.org/entity/Q36978969,0.99
http://mycustomkb.org/entity/Solaris,http://www.wikidata.org/entity/Q14646,0.99
http://mycustomkb.org/entity/Perivallon,http://www.wikidata.org/entity/Q130667353,0.99
http://mycustomkb.org/entity/Mambo,http://www.wikidata.org/entity/Q37434046,0.99
http://mycustomkb.org/entity/Empower,http://www.wikidata.org/entity/Q134994297,0.99
http://mycustomkb.org/entity/Augmentor,http://www.wikidata.org/entity/Q21112398,0.99
http://mycustomkb.org/entity/Rainbow,http://www.wikidata.org/entity/Q16005,0.99
http://mycustomkb.org/entity/MarieSklodowska,http://www.wikidata.org/entity/Q7186,0.99
http://mycustomkb.org/entity/Rea,http://www.wikidata.org/entity/Q21448980,0.99
http://mycustomkb.org/entity/KevinZhu,http://www.wikidata.org/entity/Q56850475,0.99
http://mycustomkb.org/entity/TheUniversityOfCaliforniaBerkeley,http://www.wikidata.org/entity/Q5870629,0.99
http://mycustomkb.org/entity/Algoverse,http://www.wikidata.org/entity/Q136709285,0.99
http://mycustomkb.org/entity/Zhu,http://www.wikidata.org/entity/Q13391907,0.99
http://mycustomkb.org/entity/Linkedin,http://www.wikidata.org/entity/Q213660,0.99
