Entity,Type,Source URL
16 March 2026,DATE,https://www.ukri.org/opportunity/fundamental-ai-research-lab/
Fundamental AI Research Lab,ORG,https://www.ukri.org/opportunity/fundamental-ai-research-lab/
UK Research and Innovation,ORG,https://www.ukri.org/opportunity/fundamental-ai-research-lab/
UKRI,ORG,https://www.ukri.org/opportunity/fundamental-ai-research-lab/
the Funding Service,ORG,https://www.ukri.org/opportunity/fundamental-ai-research-lab/
Funding Service,ORG,https://www.ukri.org/opportunity/fundamental-ai-research-lab/
at least 10 working days,DATE,https://www.ukri.org/opportunity/fundamental-ai-research-lab/
EPSRC,ORG,https://www.ukri.org/opportunity/fundamental-ai-research-lab/
31 March 2026,DATE,https://www.ukri.org/opportunity/fundamental-ai-research-lab/
UK,GPE,https://www.ukri.org/opportunity/fundamental-ai-research-lab/
DSIT,ORG,https://www.ukri.org/opportunity/fundamental-ai-research-lab/
a certain date,DATE,https://www.ukri.org/opportunity/fundamental-ai-research-lab/
EPSRC Funding Applications Outcomes,ORG,https://www.ukri.org/opportunity/fundamental-ai-research-lab/
the UKRI Gateway to Research,ORG,https://www.ukri.org/opportunity/fundamental-ai-research-lab/
Core,ORG,https://www.ukri.org/opportunity/fundamental-ai-research-lab/
Vision and Approach (,ORG,https://www.ukri.org/opportunity/fundamental-ai-research-lab/
The Funding Service,ORG,https://www.ukri.org/opportunity/fundamental-ai-research-lab/
the first six months,DATE,https://www.ukri.org/opportunity/fundamental-ai-research-lab/
18-month,DATE,https://www.ukri.org/opportunity/fundamental-ai-research-lab/
Lab,ORG,https://www.ukri.org/opportunity/fundamental-ai-research-lab/
five year,DATE,https://www.ukri.org/opportunity/fundamental-ai-research-lab/
DIST,ORG,https://www.ukri.org/opportunity/fundamental-ai-research-lab/
EU,ORG,https://rea.ec.europa.eu/research-and-artificial-intelligence_en
2017,DATE,https://rea.ec.europa.eu/research-and-artificial-intelligence_en
The European Council,ORG,https://rea.ec.europa.eu/research-and-artificial-intelligence_en
Commission,ORG,https://rea.ec.europa.eu/research-and-artificial-intelligence_en
2018,DATE,https://rea.ec.europa.eu/research-and-artificial-intelligence_en
The European Commission,ORG,https://rea.ec.europa.eu/research-and-artificial-intelligence_en
the European AI Alliance,ORG,https://rea.ec.europa.eu/research-and-artificial-intelligence_en
2019,DATE,https://rea.ec.europa.eu/research-and-artificial-intelligence_en
the European Commission,ORG,https://rea.ec.europa.eu/research-and-artificial-intelligence_en
2020,DATE,https://rea.ec.europa.eu/research-and-artificial-intelligence_en
2021,DATE,https://rea.ec.europa.eu/research-and-artificial-intelligence_en
2023,DATE,https://rea.ec.europa.eu/research-and-artificial-intelligence_en
2024,DATE,https://rea.ec.europa.eu/research-and-artificial-intelligence_en
the European AI Office,ORG,https://rea.ec.europa.eu/research-and-artificial-intelligence_en
GenAI4EU,ORG,https://rea.ec.europa.eu/research-and-artificial-intelligence_en
the Scientific advice Mechanism,ORG,https://rea.ec.europa.eu/research-and-artificial-intelligence_en
2025,DATE,https://rea.ec.europa.eu/research-and-artificial-intelligence_en
2014,DATE,https://rea.ec.europa.eu/research-and-artificial-intelligence_en
the European Research Executive Agency,ORG,https://rea.ec.europa.eu/research-and-artificial-intelligence_en
every year,DATE,https://rea.ec.europa.eu/research-and-artificial-intelligence_en
Agency,ORG,https://rea.ec.europa.eu/research-and-artificial-intelligence_en
Horizon 2020,DATE,https://rea.ec.europa.eu/research-and-artificial-intelligence_en
Horizon Europe,ORG,https://rea.ec.europa.eu/research-and-artificial-intelligence_en
IVORY,ORG,https://rea.ec.europa.eu/research-and-artificial-intelligence_en
AI4Gov,ORG,https://rea.ec.europa.eu/research-and-artificial-intelligence_en
AI4POL,ORG,https://rea.ec.europa.eu/research-and-artificial-intelligence_en
SOLARIS,ORG,https://rea.ec.europa.eu/research-and-artificial-intelligence_en
EOSC4Cancer,ORG,https://rea.ec.europa.eu/research-and-artificial-intelligence_en
the European Cancer Mission,ORG,https://rea.ec.europa.eu/research-and-artificial-intelligence_en
HOLiFOOD,ORG,https://rea.ec.europa.eu/research-and-artificial-intelligence_en
PERIVALLON,ORG,https://rea.ec.europa.eu/research-and-artificial-intelligence_en
MAMBO,ORG,https://rea.ec.europa.eu/research-and-artificial-intelligence_en
AI4LABOUR,ORG,https://rea.ec.europa.eu/research-and-artificial-intelligence_en
EMPOWER,ORG,https://rea.ec.europa.eu/research-and-artificial-intelligence_en
AUGMENTOR,ORG,https://rea.ec.europa.eu/research-and-artificial-intelligence_en
21st-century,DATE,https://rea.ec.europa.eu/research-and-artificial-intelligence_en
RAINBOW,ORG,https://rea.ec.europa.eu/research-and-artificial-intelligence_en
COMPTEACH,ORG,https://rea.ec.europa.eu/research-and-artificial-intelligence_en
EU,GPE,https://rea.ec.europa.eu/research-and-artificial-intelligence_en
Marie Sklodowska,PERSON,https://rea.ec.europa.eu/research-and-artificial-intelligence_en
REA,ORG,https://rea.ec.europa.eu/research-and-artificial-intelligence_en
this year,DATE,https://www.theguardian.com/technology/2025/dec/06/ai-research-papers
this week,DATE,https://www.theguardian.com/technology/2025/dec/06/ai-research-papers
Kevin Zhu,PERSON,https://www.theguardian.com/technology/2025/dec/06/ai-research-papers
"the University of California, Berkeley",ORG,https://www.theguardian.com/technology/2025/dec/06/ai-research-papers
Algoverse,ORG,https://www.theguardian.com/technology/2025/dec/06/ai-research-papers
Zhu,PERSON,https://www.theguardian.com/technology/2025/dec/06/ai-research-papers
2018,DATE,https://www.theguardian.com/technology/2025/dec/06/ai-research-papers
the past two years,DATE,https://www.theguardian.com/technology/2025/dec/06/ai-research-papers
LinkedIn,ORG,https://www.theguardian.com/technology/2025/dec/06/ai-research-papers
the past year,DATE,https://www.theguardian.com/technology/2025/dec/06/ai-research-papers
OpenAI,ORG,https://www.theguardian.com/technology/2025/dec/06/ai-research-papers
Microsoft,ORG,https://www.theguardian.com/technology/2025/dec/06/ai-research-papers
Google,ORG,https://www.theguardian.com/technology/2025/dec/06/ai-research-papers
Stanford,ORG,https://www.theguardian.com/technology/2025/dec/06/ai-research-papers
MIT,ORG,https://www.theguardian.com/technology/2025/dec/06/ai-research-papers
Oxford,ORG,https://www.theguardian.com/technology/2025/dec/06/ai-research-papers
Hany Farid,PERSON,https://www.theguardian.com/technology/2025/dec/06/ai-research-papers
Berkeley,ORG,https://www.theguardian.com/technology/2025/dec/06/ai-research-papers
Farid,PERSON,https://www.theguardian.com/technology/2025/dec/06/ai-research-papers
Guardian,ORG,https://www.theguardian.com/technology/2025/dec/06/ai-research-papers
12-week,DATE,https://www.theguardian.com/technology/2025/dec/06/ai-research-papers
NeurIPS,ORG,https://www.theguardian.com/technology/2025/dec/06/ai-research-papers
2020,DATE,https://www.theguardian.com/technology/2025/dec/06/ai-research-papers
the International Conference on Learning Representations,ORG,https://www.theguardian.com/technology/2025/dec/06/ai-research-papers
yearly,DATE,https://www.theguardian.com/technology/2025/dec/06/ai-research-papers
2026,DATE,https://www.theguardian.com/technology/2025/dec/06/ai-research-papers
2025,DATE,https://www.theguardian.com/technology/2025/dec/06/ai-research-papers
36Kr,ORG,https://www.theguardian.com/technology/2025/dec/06/ai-research-papers
November,DATE,https://www.theguardian.com/technology/2025/dec/06/ai-research-papers
ICLR,ORG,https://www.theguardian.com/technology/2025/dec/06/ai-research-papers
year,DATE,https://www.theguardian.com/technology/2025/dec/06/ai-research-papers
a year,DATE,https://www.theguardian.com/technology/2025/dec/06/ai-research-papers
Jeffrey Walling,PERSON,https://www.theguardian.com/technology/2025/dec/06/ai-research-papers
Virginia Tech,ORG,https://www.theguardian.com/technology/2025/dec/06/ai-research-papers
This year,DATE,https://www.theguardian.com/technology/2025/dec/06/ai-research-papers
Walling,PERSON,https://www.theguardian.com/technology/2025/dec/06/ai-research-papers
2017,DATE,https://www.theguardian.com/technology/2025/dec/06/ai-research-papers
Zhu,ORG,https://www.theguardian.com/technology/2025/dec/06/ai-research-papers
Nature,ORG,https://www.theguardian.com/technology/2025/dec/06/ai-research-papers
May 2025,DATE,https://www.theguardian.com/technology/2025/dec/06/ai-research-papers
Farid,ORG,https://www.theguardian.com/technology/2025/dec/06/ai-research-papers
arXiv,ORG,https://www.theguardian.com/technology/2025/dec/06/ai-research-papers
U.S.,GPE,https://www.nsf.gov/focus-areas/ai/nairr
U.S. National Science Foundation,ORG,https://www.nsf.gov/focus-areas/ai/nairr
NAIRR,ORG,https://www.nsf.gov/focus-areas/ai/nairr
2024,DATE,https://www.nsf.gov/focus-areas/ai/nairr
Washington,GPE,https://www.nsf.gov/focus-areas/ai/nairr
D.C.,GPE,https://www.nsf.gov/focus-areas/ai/nairr
Puerto Rico,GPE,https://www.nsf.gov/focus-areas/ai/nairr
White House,ORG,https://www.nsf.gov/focus-areas/ai/nairr
Year One,DATE,https://www.nsf.gov/focus-areas/ai/nairr
NSF,ORG,https://www.nsf.gov/focus-areas/ai/nairr
NAIRR for Research,ORG,https://www.nsf.gov/focus-areas/ai/nairr
Secure,ORG,https://www.nsf.gov/focus-areas/ai/nairr
the National Institutes of Health,ORG,https://www.nsf.gov/focus-areas/ai/nairr
the U.S. Department of Energy,ORG,https://www.nsf.gov/focus-areas/ai/nairr
nairrpilot.org,ORG,https://www.nsf.gov/focus-areas/ai/nairr
DARPA,ORG,https://www.nsf.gov/focus-areas/ai/nairr
NASA,ORG,https://www.nsf.gov/focus-areas/ai/nairr
NIST,ORG,https://www.nsf.gov/focus-areas/ai/nairr
NIH,ORG,https://www.nsf.gov/focus-areas/ai/nairr
DOE,ORG,https://www.nsf.gov/focus-areas/ai/nairr
NOAA,ORG,https://www.nsf.gov/focus-areas/ai/nairr
USDA,ORG,https://www.nsf.gov/focus-areas/ai/nairr
2022,DATE,https://www.nsf.gov/focus-areas/ai/nairr
ED,ORG,https://www.nsf.gov/focus-areas/ai/nairr
VA,ORG,https://www.nsf.gov/focus-areas/ai/nairr
National AI Institute,ORG,https://www.nsf.gov/focus-areas/ai/nairr
DoD,ORG,https://www.nsf.gov/focus-areas/ai/nairr
FDA,ORG,https://www.nsf.gov/focus-areas/ai/nairr
the Office of Science and Engineering Laboratories,ORG,https://www.nsf.gov/focus-areas/ai/nairr
OSEL,ORG,https://www.nsf.gov/focus-areas/ai/nairr
the Center for Devices and Radiological Health,ORG,https://www.nsf.gov/focus-areas/ai/nairr
CDRH,ORG,https://www.nsf.gov/focus-areas/ai/nairr
USGS,ORG,https://www.nsf.gov/focus-areas/ai/nairr
USPTO,ORG,https://www.nsf.gov/focus-areas/ai/nairr
AWS,ORG,https://www.nsf.gov/focus-areas/ai/nairr
the Registry of Open Data,ORG,https://www.nsf.gov/focus-areas/ai/nairr
AMD,ORG,https://www.nsf.gov/focus-areas/ai/nairr
Anthropic,ORG,https://www.nsf.gov/focus-areas/ai/nairr
Cerebras,ORG,https://www.nsf.gov/focus-areas/ai/nairr
Databricks,ORG,https://www.nsf.gov/focus-areas/ai/nairr
Datavant,ORG,https://www.nsf.gov/focus-areas/ai/nairr
EleutherAI,ORG,https://www.nsf.gov/focus-areas/ai/nairr
Google Colab,ORG,https://www.nsf.gov/focus-areas/ai/nairr
Kaggle,ORG,https://www.nsf.gov/focus-areas/ai/nairr
Data Commons,ORG,https://www.nsf.gov/focus-areas/ai/nairr
Colab,ORG,https://www.nsf.gov/focus-areas/ai/nairr
Groq,ORG,https://www.nsf.gov/focus-areas/ai/nairr
GroqCloud,ORG,https://www.nsf.gov/focus-areas/ai/nairr
HPE,ORG,https://www.nsf.gov/focus-areas/ai/nairr
Hugging Face,ORG,https://www.nsf.gov/focus-areas/ai/nairr
IBM,ORG,https://www.nsf.gov/focus-areas/ai/nairr
Intel,ORG,https://www.nsf.gov/focus-areas/ai/nairr
Lexset,ORG,https://www.nsf.gov/focus-areas/ai/nairr
Meta,ORG,https://www.nsf.gov/focus-areas/ai/nairr
Microsoft,ORG,https://www.nsf.gov/focus-areas/ai/nairr
MLCommons,ORG,https://www.nsf.gov/focus-areas/ai/nairr
NVIDIA,ORG,https://www.nsf.gov/focus-areas/ai/nairr
Omidyar Network,ORG,https://www.nsf.gov/focus-areas/ai/nairr
ChatGPT,ORG,https://www.nsf.gov/focus-areas/ai/nairr
OpenAI,ORG,https://www.nsf.gov/focus-areas/ai/nairr
the National Clinical Cohort Collaborative,ORG,https://www.nsf.gov/focus-areas/ai/nairr
Palantir,ORG,https://www.nsf.gov/focus-areas/ai/nairr
Foundry,ORG,https://www.nsf.gov/focus-areas/ai/nairr
Argonne National Laboratory,ORG,https://www.nsf.gov/focus-areas/ai/nairr
Vocareum,ORG,https://www.nsf.gov/focus-areas/ai/nairr
Weights & Biases',ORG,https://www.nsf.gov/focus-areas/ai/nairr
AI Alliance,ORG,https://www.nsf.gov/focus-areas/ai/nairr
the AI Alliance,ORG,https://www.nsf.gov/focus-areas/ai/nairr
the NAIRR Task Force,ORG,https://www.nsf.gov/focus-areas/ai/nairr
the White House Office of Science and Technology Policy,ORG,https://www.nsf.gov/focus-areas/ai/nairr
OSTP,ORG,https://www.nsf.gov/focus-areas/ai/nairr
a National AI Research Resource Task Force,ORG,https://www.nsf.gov/focus-areas/ai/nairr
June 2021,DATE,https://www.nsf.gov/focus-areas/ai/nairr
April 2023,DATE,https://www.nsf.gov/focus-areas/ai/nairr
90 days,DATE,https://www.nsf.gov/focus-areas/ai/nairr
Congress,ORG,https://www.nsf.gov/focus-areas/ai/nairr
Tess DeBlanc-Knowles,PERSON,https://www.nsf.gov/focus-areas/ai/nairr
Aug. 2022,DATE,https://www.nsf.gov/focus-areas/ai/nairr
National AI Initiative Office,ORG,https://www.nsf.gov/focus-areas/ai/nairr
Office of Science and Technology Policy,ORG,https://www.nsf.gov/focus-areas/ai/nairr
Manish Parashar,PERSON,https://www.nsf.gov/focus-areas/ai/nairr
Oct. 2021,DATE,https://www.nsf.gov/focus-areas/ai/nairr
the Office of Advanced Cyberinfrastructure,ORG,https://www.nsf.gov/focus-areas/ai/nairr
Lynne Parker,PERSON,https://www.nsf.gov/focus-areas/ai/nairr
June 2021 – August 2022,DATE,https://www.nsf.gov/focus-areas/ai/nairr
the National AI Initiative Office,ORG,https://www.nsf.gov/focus-areas/ai/nairr
Erwin Gianchandani,PERSON,https://www.nsf.gov/focus-areas/ai/nairr
June 2021 – October 2021,DATE,https://www.nsf.gov/focus-areas/ai/nairr
Daniela Braga,PERSON,https://www.nsf.gov/focus-areas/ai/nairr
DefinedCrowd,ORG,https://www.nsf.gov/focus-areas/ai/nairr
Mark E. Dean,PERSON,https://www.nsf.gov/focus-areas/ai/nairr
Oren Etzioni,PERSON,https://www.nsf.gov/focus-areas/ai/nairr
Allen Institute for AI,ORG,https://www.nsf.gov/focus-areas/ai/nairr
Julia Lane,PERSON,https://www.nsf.gov/focus-areas/ai/nairr
New York University,GPE,https://www.nsf.gov/focus-areas/ai/nairr
the Coleridge Initiative,ORG,https://www.nsf.gov/focus-areas/ai/nairr
Fei-Fei Li,PERSON,https://www.nsf.gov/focus-areas/ai/nairr
Sequoia,PERSON,https://www.nsf.gov/focus-areas/ai/nairr
Stanford University,ORG,https://www.nsf.gov/focus-areas/ai/nairr
Denning Co,PERSON,https://www.nsf.gov/focus-areas/ai/nairr
the Stanford Institute for Human-Centered AI,ORG,https://www.nsf.gov/focus-areas/ai/nairr
Andrew Moore,PERSON,https://www.nsf.gov/focus-areas/ai/nairr
Google Cloud AI and Industry Solutions,ORG,https://www.nsf.gov/focus-areas/ai/nairr
Michael L. Norman,PERSON,https://www.nsf.gov/focus-areas/ai/nairr
University of California,ORG,https://www.nsf.gov/focus-areas/ai/nairr
San Diego,GPE,https://www.nsf.gov/focus-areas/ai/nairr
Dan Stanzione,PERSON,https://www.nsf.gov/focus-areas/ai/nairr
Texas Advanced Computing Center,ORG,https://www.nsf.gov/focus-areas/ai/nairr
The University of Texas at Austin,ORG,https://www.nsf.gov/focus-areas/ai/nairr
